threads,config,run,elapsed,grind,fom,trace_bytes,trace_human
8,Baseline,1,56.00,0.317163,3152.96,,
8,Baseline,2,66.00,0.376231,2657.94,,
8,Baseline,3,63.00,0.360401,2774.69,,
8,Baseline,4,67.00,0.380827,2625.86,,
16,Baseline,1,51.00,0.292459,3419.29,,
16,Baseline,2,53.00,0.300988,3322.40,,
16,Baseline,3,55.00,0.314586,3178.78,,
16,Baseline,4,55.00,0.314509,3179.56,,
24,Baseline,1,44.00,0.248496,4024.22,,
24,Baseline,2,49.00,0.279574,3576.87,,
24,Baseline,3,40.00,0.226443,4416.11,,
24,Baseline,4,54.00,0.304672,3282.21,,
32,Baseline,1,39.00,0.219625,4553.21,,
32,Baseline,2,47.00,0.268402,3725.76,,
32,Baseline,3,38.00,0.216407,4620.92,,
32,Baseline,4,39.00,0.223274,4478.81,,
8,Baseline_TBB,1,27.00,0.155702,6422.52,,
8,Baseline_TBB,2,28.00,0.156747,6379.69,,
8,Baseline_TBB,3,34.00,0.195232,5122.12,,
8,Baseline_TBB,4,28.00,0.160721,6221.95,,
16,Baseline_TBB,1,17.00,0.095317,10491.33,,
16,Baseline_TBB,2,17.00,0.099540,10046.22,,
16,Baseline_TBB,3,17.00,0.095974,10419.45,,
16,Baseline_TBB,4,18.00,0.100470,9953.25,,
24,Baseline_TBB,1,16.00,0.089939,11118.64,,
24,Baseline_TBB,2,16.00,0.090710,11024.13,,
24,Baseline_TBB,3,16.00,0.089912,11122.03,,
24,Baseline_TBB,4,17.00,0.095019,10524.23,,
32,Baseline_TBB,1,14.00,0.082244,12158.88,,
32,Baseline_TBB,2,16.00,0.090212,11085.00,,
32,Baseline_TBB,3,15.00,0.084390,11849.76,,
32,Baseline_TBB,4,14.00,0.079614,12560.54,,
8,PInsight_Full,1,72.00,0.409681,2440.92,1285032064,1.2G
8,PInsight_Full,2,76.00,0.430458,2323.11,1354259728,1.3G
8,PInsight_Full,3,72.00,0.412168,2426.19,1295068560,1.3G
8,PInsight_Full,4,74.00,0.422485,2366.95,1326210744,1.3G
16,PInsight_Full,1,65.00,0.369689,2704.97,1194676504,1.2G
16,PInsight_Full,2,63.00,0.359230,2783.73,1164246808,1.1G
16,PInsight_Full,3,65.00,0.372128,2687.24,1199293704,1.2G
16,PInsight_Full,4,63.00,0.358573,2788.83,1160240848,1.1G
24,PInsight_Full,1,56.00,0.317017,3154.40,1054720672,1007M
24,PInsight_Full,2,56.00,0.320249,3122.57,1063389032,1015M
24,PInsight_Full,3,51.00,0.292130,3423.14,978451120,934M
24,PInsight_Full,4,60.00,0.340834,2933.98,1126123384,1.1G
32,PInsight_Full,1,43.00,0.243583,4105.38,852079640,814M
32,PInsight_Full,2,47.00,0.269396,3712.01,925956696,884M
32,PInsight_Full,3,43.00,0.246240,4061.08,858126344,819M
32,PInsight_Full,4,48.00,0.273112,3661.51,938340848,896M
8,PInsight_Full_TBB,1,34.00,0.193908,5157.09,628139840,600M
8,PInsight_Full_TBB,2,35.00,0.200127,4996.83,642376176,614M
8,PInsight_Full_TBB,3,36.00,0.205668,4862.21,662387728,633M
8,PInsight_Full_TBB,4,35.00,0.202141,4947.05,656524840,627M
16,PInsight_Full_TBB,1,22.00,0.126680,7893.94,447050960,427M
16,PInsight_Full_TBB,2,22.00,0.125060,7996.14,437038032,418M
16,PInsight_Full_TBB,3,22.00,0.127506,7842.76,452920384,433M
16,PInsight_Full_TBB,4,31.00,0.174818,5720.24,595390584,569M
24,PInsight_Full_TBB,1,21.00,0.121200,8250.79,455905720,436M
24,PInsight_Full_TBB,2,20.00,0.115764,8638.25,446303904,427M
24,PInsight_Full_TBB,3,21.00,0.117924,8480.02,450305552,430M
24,PInsight_Full_TBB,4,21.00,0.118975,8405.09,448089760,428M
32,PInsight_Full_TBB,1,19.00,0.110856,9020.71,444647896,425M
32,PInsight_Full_TBB,2,19.00,0.110386,9059.13,447728448,428M
32,PInsight_Full_TBB,3,19.00,0.109556,9127.72,437757416,418M
32,PInsight_Full_TBB,4,22.00,0.123247,8113.76,478919784,458M
8,PInsight_50_STANDBY,1,66.00,0.374736,2668.54,4473160,4.7M
8,PInsight_50_STANDBY,2,66.00,0.373555,2676.98,4473160,4.7M
8,PInsight_50_STANDBY,3,65.00,0.367814,2718.77,4473160,4.7M
8,PInsight_50_STANDBY,4,68.00,0.384758,2599.03,4469064,4.7M
16,PInsight_50_STANDBY,1,55.00,0.310677,3218.77,8307016,8.3M
16,PInsight_50_STANDBY,2,56.00,0.316702,3157.55,8290632,8.3M
16,PInsight_50_STANDBY,3,53.00,0.300416,3328.71,8298824,8.3M
16,PInsight_50_STANDBY,4,58.00,0.329539,3034.54,8307016,8.3M
24,PInsight_50_STANDBY,1,41.00,0.232094,4308.60,12140872,12M
24,PInsight_50_STANDBY,2,52.00,0.298456,3350.57,12132680,12M
24,PInsight_50_STANDBY,3,51.00,0.291676,3428.46,12116296,12M
24,PInsight_50_STANDBY,4,39.00,0.223776,4468.76,12136776,12M
32,PInsight_50_STANDBY,1,47.00,0.268658,3722.20,15970632,16M
32,PInsight_50_STANDBY,2,38.00,0.214791,4655.69,15946056,16M
32,PInsight_50_STANDBY,3,46.00,0.264144,3785.81,15941960,16M
32,PInsight_50_STANDBY,4,37.00,0.211575,4726.46,15946056,16M
8,PInsight_50_STANDBY_TBB,1,31.00,0.175219,5707.15,4469064,4.7M
8,PInsight_50_STANDBY_TBB,2,33.00,0.188833,5295.68,4464968,4.7M
8,PInsight_50_STANDBY_TBB,3,32.00,0.181543,5508.34,4473160,4.7M
8,PInsight_50_STANDBY_TBB,4,29.00,0.166965,5989.29,4473160,4.7M
16,PInsight_50_STANDBY_TBB,1,18.00,0.102003,9803.64,8290632,8.3M
16,PInsight_50_STANDBY_TBB,2,18.00,0.103765,9637.20,8307016,8.3M
16,PInsight_50_STANDBY_TBB,3,17.00,0.099021,10098.85,8298824,8.3M
16,PInsight_50_STANDBY_TBB,4,19.00,0.106449,9394.15,8298824,8.3M
24,PInsight_50_STANDBY_TBB,1,17.00,0.095575,10462.97,12136776,12M
24,PInsight_50_STANDBY_TBB,2,16.00,0.089127,11220.00,12136776,12M
24,PInsight_50_STANDBY_TBB,3,16.00,0.090110,11097.58,12140872,12M
24,PInsight_50_STANDBY_TBB,4,18.00,0.101941,9809.55,12120392,12M
32,PInsight_50_STANDBY_TBB,1,17.00,0.096422,10371.11,15946056,16M
32,PInsight_50_STANDBY_TBB,2,17.00,0.095180,10506.38,15937864,16M
32,PInsight_50_STANDBY_TBB,3,15.00,0.087856,11382.25,15970632,16M
32,PInsight_50_STANDBY_TBB,4,15.00,0.085561,11687.60,15966536,16M
8,HPCToolkit,1,46.00,0.261783,3819.96,5482240,5.3M
8,HPCToolkit,2,45.00,0.258757,3864.62,5441055,5.3M
8,HPCToolkit,3,43.00,0.247048,4047.80,5239461,5.1M
8,HPCToolkit,4,42.00,0.238853,4186.68,5072141,4.9M
16,HPCToolkit,1,30.00,0.169519,5899.03,7480451,7.2M
16,HPCToolkit,2,25.00,0.141519,7066.21,6499753,6.3M
16,HPCToolkit,3,29.00,0.167533,5968.98,7416711,7.2M
16,HPCToolkit,4,24.00,0.139406,7173.27,6437092,6.3M
24,HPCToolkit,1,22.00,0.123452,8100.34,8563191,8.3M
24,HPCToolkit,2,22.00,0.125314,7979.98,8654507,8.4M
24,HPCToolkit,3,22.00,0.123076,8125.06,8548550,8.3M
24,HPCToolkit,4,24.00,0.138271,7232.16,9338158,9.0M
32,HPCToolkit,1,22.00,0.127697,7831.01,11458937,12M
32,HPCToolkit,2,23.00,0.128626,7774.46,11535597,12M
32,HPCToolkit,3,22.00,0.126308,7917.16,11378399,12M
32,HPCToolkit,4,22.00,0.125794,7949.51,11342167,11M
