threads,config,run,elapsed,grind,fom,trace_bytes,trace_human
8,Baseline,1,140.00,0.309529,3230.71,,
8,Baseline,2,130.00,0.289089,3459.14,,
8,Baseline,3,140.00,0.319358,3131.28,,
8,Baseline,4,140.00,0.310609,3219.48,,
8,Baseline,5,130.00,0.291302,3432.86,,
16,Baseline,1,97.00,0.221762,4509.34,,
16,Baseline,2,95.00,0.216197,4625.42,,
16,Baseline,3,98.00,0.223106,4482.18,,
16,Baseline,4,99.00,0.226788,4409.41,,
16,Baseline,5,98.00,0.223962,4465.04,,
24,Baseline,1,86.00,0.195392,5117.91,,
24,Baseline,2,85.00,0.193078,5179.26,,
24,Baseline,3,85.00,0.194833,5132.59,,
24,Baseline,4,85.00,0.193700,5162.62,,
24,Baseline,5,85.00,0.193446,5169.41,,
32,Baseline,1,81.00,0.185074,5403.26,,
32,Baseline,2,82.00,0.186318,5367.17,,
32,Baseline,3,77.00,0.174806,5720.61,,
32,Baseline,4,81.00,0.185361,5394.88,,
32,Baseline,5,82.00,0.185808,5381.90,,
48,Baseline,1,78.00,0.176952,5651.26,,
48,Baseline,2,77.00,0.175749,5689.92,,
48,Baseline,3,77.00,0.175771,5689.24,,
48,Baseline,4,79.00,0.179916,5558.15,,
48,Baseline,5,78.00,0.176965,5650.84,,
8,Baseline_TBB,1,140.00,0.309974,3226.08,,
8,Baseline_TBB,2,130.00,0.300076,3332.48,,
8,Baseline_TBB,3,130.00,0.296669,3370.76,,
8,Baseline_TBB,4,130.00,0.299721,3336.43,,
8,Baseline_TBB,5,130.00,0.297346,3363.08,,
16,Baseline_TBB,1,92.00,0.208604,4793.77,,
16,Baseline_TBB,2,100.00,0.235176,4252.14,,
16,Baseline_TBB,3,100.00,0.239294,4178.96,,
16,Baseline_TBB,4,92.00,0.208712,4791.28,,
16,Baseline_TBB,5,94.00,0.214492,4662.17,,
24,Baseline_TBB,1,83.00,0.190160,5258.74,,
24,Baseline_TBB,2,84.00,0.190667,5244.75,,
24,Baseline_TBB,3,84.00,0.191099,5232.89,,
24,Baseline_TBB,4,84.00,0.191174,5230.82,,
24,Baseline_TBB,5,84.00,0.192295,5200.36,,
32,Baseline_TBB,1,81.00,0.184240,5427.71,,
32,Baseline_TBB,2,76.00,0.173147,5775.44,,
32,Baseline_TBB,3,78.00,0.178576,5599.87,,
32,Baseline_TBB,4,80.00,0.181493,5509.87,,
32,Baseline_TBB,5,78.00,0.177787,5624.70,,
48,Baseline_TBB,1,75.00,0.171827,5819.80,,
48,Baseline_TBB,2,75.00,0.171167,5842.26,,
48,Baseline_TBB,3,75.00,0.171979,5814.65,,
48,Baseline_TBB,4,75.00,0.170089,5879.26,,
48,Baseline_TBB,5,76.00,0.172750,5788.73,,
8,PInsight_Full,1,150.00,0.338388,2955.19,2620564552,2.5G
8,PInsight_Full,2,150.00,0.340503,2936.83,2632256480,2.5G
8,PInsight_Full,3,160.00,0.360923,2770.67,2794757776,2.7G
8,PInsight_Full,4,160.00,0.358197,2791.76,2772694200,2.6G
8,PInsight_Full,5,150.00,0.339155,2948.50,2622530992,2.5G
16,PInsight_Full,1,110.00,0.241913,4133.71,1911992504,1.8G
16,PInsight_Full,2,110.00,0.252171,3965.56,1988737336,1.9G
16,PInsight_Full,3,110.00,0.245845,4067.60,1937797312,1.9G
16,PInsight_Full,4,110.00,0.246657,4054.22,1939267920,1.9G
16,PInsight_Full,5,110.00,0.245887,4066.91,1937420408,1.9G
24,PInsight_Full,1,93.00,0.212185,4712.87,1704464080,1.6G
24,PInsight_Full,2,96.00,0.218000,4587.15,1753332104,1.7G
24,PInsight_Full,3,94.00,0.215287,4644.96,1729075872,1.7G
24,PInsight_Full,4,93.00,0.212122,4714.26,1705065904,1.6G
24,PInsight_Full,5,91.00,0.206994,4831.05,1666214400,1.6G
32,PInsight_Full,1,88.00,0.200159,4996.04,1631167648,1.6G
32,PInsight_Full,2,87.00,0.198936,5026.74,1619652280,1.6G
32,PInsight_Full,3,87.00,0.198169,5046.19,1610267840,1.6G
32,PInsight_Full,4,87.00,0.198717,5032.28,1617005904,1.6G
32,PInsight_Full,5,90.00,0.205079,4876.17,1665841232,1.6G
48,PInsight_Full,1,83.00,0.189976,5263.83,1575639312,1.5G
48,PInsight_Full,2,83.00,0.190087,5260.75,1577044816,1.5G
48,PInsight_Full,3,83.00,0.189924,5265.28,1574836424,1.5G
48,PInsight_Full,4,86.00,0.195018,5127.74,1613151640,1.6G
48,PInsight_Full,5,87.00,0.199259,5018.59,1645628904,1.6G
8,PInsight_Full_TBB,1,140.00,0.329490,3034.99,2552799016,2.4G
8,PInsight_Full_TBB,2,140.00,0.327689,3051.67,2536175144,2.4G
8,PInsight_Full_TBB,3,140.00,0.319791,3127.04,2479306696,2.4G
8,PInsight_Full_TBB,4,150.00,0.336887,2968.36,2606951816,2.5G
8,PInsight_Full_TBB,5,140.00,0.316344,3161.12,2451515256,2.3G
16,PInsight_Full_TBB,1,100.00,0.233728,4278.47,1843731928,1.8G
16,PInsight_Full_TBB,2,110.00,0.252438,3961.37,1992903544,1.9G
16,PInsight_Full_TBB,3,110.00,0.257875,3877.84,2037179304,1.9G
16,PInsight_Full_TBB,4,100.00,0.239008,4183.96,1894553096,1.8G
16,PInsight_Full_TBB,5,98.00,0.224151,4461.28,1770480552,1.7G
24,PInsight_Full_TBB,1,90.00,0.204346,4893.65,1641159808,1.6G
24,PInsight_Full_TBB,2,91.00,0.206821,4835.09,1667943416,1.6G
24,PInsight_Full_TBB,3,90.00,0.204575,4888.18,1646399024,1.6G
24,PInsight_Full_TBB,4,92.00,0.210674,4746.68,1693358240,1.6G
24,PInsight_Full_TBB,5,91.00,0.206689,4838.18,1659807608,1.6G
32,PInsight_Full_TBB,1,81.00,0.185151,5400.99,1515100056,1.5G
32,PInsight_Full_TBB,2,86.00,0.197163,5071.94,1605753040,1.5G
32,PInsight_Full_TBB,3,87.00,0.197293,5068.60,1599915736,1.5G
32,PInsight_Full_TBB,4,87.00,0.197203,5070.93,1609059160,1.5G
32,PInsight_Full_TBB,5,86.00,0.195654,5111.06,1595839208,1.5G
48,PInsight_Full_TBB,1,85.00,0.193622,5164.70,1605888208,1.5G
48,PInsight_Full_TBB,2,84.00,0.191617,5218.74,1589411864,1.5G
48,PInsight_Full_TBB,3,82.00,0.186997,5347.67,1548884664,1.5G
48,PInsight_Full_TBB,4,85.00,0.193981,5155.14,1612721416,1.6G
48,PInsight_Full_TBB,5,83.00,0.188924,5293.15,1569945296,1.5G
8,PInsight_50_STANDBY,1,140.00,0.316420,3160.36,4469064,4.7M
8,PInsight_50_STANDBY,2,120.00,0.284893,3510.09,4464968,4.7M
8,PInsight_50_STANDBY,3,150.00,0.330865,3022.38,4469064,4.7M
