   3784694:	find library=libm.so.6 [0]; searching
   3784694:	 search path=/home/yyan7/tools/hpctoolkit-install/lib/x86_64-linux-gnu/glibc-hwcaps/x86-64-v3:/home/yyan7/tools/hpctoolkit-install/lib/x86_64-linux-gnu/glibc-hwcaps/x86-64-v2:/home/yyan7/tools/hpctoolkit-install/lib/x86_64-linux-gnu/tls/x86_64/x86_64:/home/yyan7/tools/hpctoolkit-install/lib/x86_64-linux-gnu/tls/x86_64:/home/yyan7/tools/hpctoolkit-install/lib/x86_64-linux-gnu/tls/x86_64:/home/yyan7/tools/hpctoolkit-install/lib/x86_64-linux-gnu/tls:/home/yyan7/tools/hpctoolkit-install/lib/x86_64-linux-gnu/x86_64/x86_64:/home/yyan7/tools/hpctoolkit-install/lib/x86_64-linux-gnu/x86_64:/home/yyan7/tools/hpctoolkit-install/lib/x86_64-linux-gnu/x86_64:/home/yyan7/tools/hpctoolkit-install/lib/x86_64-linux-gnu:/usr/local/cuda/lib64/glibc-hwcaps/x86-64-v3:/usr/local/cuda/lib64/glibc-hwcaps/x86-64-v2:/usr/local/cuda/lib64/tls/x86_64/x86_64:/usr/local/cuda/lib64/tls/x86_64:/usr/local/cuda/lib64/tls/x86_64:/usr/local/cuda/lib64/tls:/usr/local/cuda/lib64/x86_64/x86_64:/usr/local/cuda/lib64/x86_64:/usr/local/cuda/lib64/x86_64:/usr/local/cuda/lib64		(LD_LIBRARY_PATH)
   3784694:	  trying file=/home/yyan7/tools/hpctoolkit-install/lib/x86_64-linux-gnu/glibc-hwcaps/x86-64-v3/libm.so.6
   3784694:	  trying file=/home/yyan7/tools/hpctoolkit-install/lib/x86_64-linux-gnu/glibc-hwcaps/x86-64-v2/libm.so.6
   3784694:	  trying file=/home/yyan7/tools/hpctoolkit-install/lib/x86_64-linux-gnu/tls/x86_64/x86_64/libm.so.6
   3784694:	  trying file=/home/yyan7/tools/hpctoolkit-install/lib/x86_64-linux-gnu/tls/x86_64/libm.so.6
   3784694:	  trying file=/home/yyan7/tools/hpctoolkit-install/lib/x86_64-linux-gnu/tls/x86_64/libm.so.6
   3784694:	  trying file=/home/yyan7/tools/hpctoolkit-install/lib/x86_64-linux-gnu/tls/libm.so.6
   3784694:	  trying file=/home/yyan7/tools/hpctoolkit-install/lib/x86_64-linux-gnu/x86_64/x86_64/libm.so.6
   3784694:	  trying file=/home/yyan7/tools/hpctoolkit-install/lib/x86_64-linux-gnu/x86_64/libm.so.6
   3784694:	  trying file=/home/yyan7/tools/hpctoolkit-install/lib/x86_64-linux-gnu/x86_64/libm.so.6
   3784694:	  trying file=/home/yyan7/tools/hpctoolkit-install/lib/x86_64-linux-gnu/libm.so.6
   3784694:	  trying file=/usr/local/cuda/lib64/glibc-hwcaps/x86-64-v3/libm.so.6
   3784694:	  trying file=/usr/local/cuda/lib64/glibc-hwcaps/x86-64-v2/libm.so.6
   3784694:	  trying file=/usr/local/cuda/lib64/tls/x86_64/x86_64/libm.so.6
   3784694:	  trying file=/usr/local/cuda/lib64/tls/x86_64/libm.so.6
   3784694:	  trying file=/usr/local/cuda/lib64/tls/x86_64/libm.so.6
   3784694:	  trying file=/usr/local/cuda/lib64/tls/libm.so.6
   3784694:	  trying file=/usr/local/cuda/lib64/x86_64/x86_64/libm.so.6
   3784694:	  trying file=/usr/local/cuda/lib64/x86_64/libm.so.6
   3784694:	  trying file=/usr/local/cuda/lib64/x86_64/libm.so.6
   3784694:	  trying file=/usr/local/cuda/lib64/libm.so.6
   3784694:	 search cache=/etc/ld.so.cache
   3784694:	  trying file=/lib/x86_64-linux-gnu/libm.so.6
   3784694:	
   3784694:	find library=libstdc++.so.6 [0]; searching
