[01:18:54.131098604] (+?.?????????) vm lttng_pinsight_mpi:MPI_Init_begin: { cpu_id = 0 }, { mpirank = 4294967295, mpi_codeptr = 0x400B26, pid = 14284 }
[01:18:54.134287707] (+0.003189103) vm lttng_pinsight_mpi:MPI_Init_begin: { cpu_id = 3 }, { mpirank = 4294967295, mpi_codeptr = 0x400B26, pid = 14285 }
[01:18:54.134478520] (+0.000190813) vm lttng_pinsight_mpi:MPI_Init_begin: { cpu_id = 1 }, { mpirank = 4294967295, mpi_codeptr = 0x400B26, pid = 14286 }
[01:18:54.135348008] (+0.000869488) vm lttng_pinsight_mpi:MPI_Init_begin: { cpu_id = 0 }, { mpirank = 4294967295, mpi_codeptr = 0x400B26, pid = 14287 }
[01:18:54.153779539] (+0.018431531) vm lttng_pinsight_mpi:MPI_Init_end: { cpu_id = 1 }, { mpirank = 2, mpi_codeptr = 0x400B26 }
[01:18:54.153779876] (+0.000000337) vm lttng_pinsight_mpi:MPI_Init_end: { cpu_id = 0 }, { mpirank = 3, mpi_codeptr = 0x400B26 }
[01:18:54.153782300] (+0.000002424) vm lttng_pinsight_mpi:MPI_Send_begin: { cpu_id = 1 }, { mpirank = 2, mpi_codeptr = 0x400D23, buf = 0xBCCADC30, count = 12, dest = 3, tag = 0 }
[01:18:54.153782599] (+0.000000299) vm lttng_pinsight_mpi:MPI_Recv_begin: { cpu_id = 0 }, { mpirank = 3, mpi_codeptr = 0x400D67, buf = 0xEBC5E590, count = 12, source = 2, tag = 0 }
[01:18:54.153784272] (+0.000001673) vm lttng_pinsight_mpi:MPI_Init_end: { cpu_id = 3 }, { mpirank = 0, mpi_codeptr = 0x400B26 }
[01:18:54.153788708] (+0.000004436) vm lttng_pinsight_mpi:MPI_Init_end: { cpu_id = 2 }, { mpirank = 1, mpi_codeptr = 0x400B26 }
[01:18:54.153789159] (+0.000000451) vm lttng_pinsight_mpi:MPI_Send_begin: { cpu_id = 3 }, { mpirank = 0, mpi_codeptr = 0x400D23, buf = 0x6B375670, count = 12, dest = 1, tag = 0 }
[01:18:54.153791259] (+0.000002100) vm lttng_pinsight_mpi:MPI_Send_end: { cpu_id = 1 }, { mpirank = 2, mpi_codeptr = 0x400D23, buf = 0xBCCADC30, count = 12, dest = 3, tag = 0 }
[01:18:54.153792499] (+0.000001240) vm lttng_pinsight_mpi:MPI_Recv_begin: { cpu_id = 1 }, { mpirank = 2, mpi_codeptr = 0x400D67, buf = 0xBCCADB10, count = 12, source = 1, tag = 0 }
[01:18:54.153793871] (+0.000001372) vm lttng_pinsight_mpi:MPI_Send_begin: { cpu_id = 2 }, { mpirank = 1, mpi_codeptr = 0x400D23, buf = 0x8032E7B0, count = 12, dest = 2, tag = 0 }
[01:18:54.153797180] (+0.000003309) vm lttng_pinsight_mpi:MPI_Send_end: { cpu_id = 3 }, { mpirank = 0, mpi_codeptr = 0x400D23, buf = 0x6B375670, count = 12, dest = 1, tag = 0 }
[01:18:54.153797849] (+0.000000669) vm lttng_pinsight_mpi:MPI_Recv_end: { cpu_id = 0 }, { mpirank = 3, mpi_codeptr = 0x400D67, buf = 0xEBC5E590, count = 12, source = 2, tag = 0 }
[01:18:54.153797970] (+0.000000121) vm lttng_pinsight_mpi:MPI_Recv_begin: { cpu_id = 3 }, { mpirank = 0, mpi_codeptr = 0x400E18, buf = 0x6B3756D0, count = 12, source = 1, tag = 1 }
